,Infant Deaths,Under Five Deaths,Adult Mortality,Alcohol Consumption,Hepatitis B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Life_expectancy
Infant Deaths,1.0,0.9856513455483952,0.7946608587200148,-0.4545261471607,-0.5125622386759479,-0.5262820086119349,-0.6619882744162664,-0.7407904606743131,-0.7218746455678725,0.34945826440761235,-0.5122861147812169,0.007621990458184268,0.49119173760396345,0.4776393405938535,-0.788512531857602,-0.9200319194470857
Under Five Deaths,0.9856513455483952,1.0,0.8023611229154944,-0.409367397100711,-0.507427407207262,-0.5129717415732149,-0.6652550417019629,-0.7429834735273635,-0.7253550323336639,0.3696177262837687,-0.46968166805967093,-0.005234231197116548,0.46697845830470536,0.4507556990809489,-0.7731959826091404,-0.920419133640263
Adult Mortality,0.7946608587200148,0.8023611229154944,1.0,-0.2447937555264703,-0.34488220809376596,-0.4161525353781738,-0.5228655113183905,-0.5242255360792811,-0.5138026959533875,0.6991193794069072,-0.5101214071457129,-0.05384768032198081,0.38214030099821206,0.3797922911672284,-0.5810354785338122,-0.9453603642730651
Alcohol Consumption,-0.4545261471607,-0.409367397100711,-0.2447937555264703,1.0,0.16843582378180627,0.31860293092524516,0.28403194554823163,0.30192623242269334,0.2990159210299545,-0.03411801473874973,0.44396595373619163,-0.03911865946047489,-0.44636617891150904,-0.4330297153757742,0.615728040287146,0.39915910757917233
Hepatitis B,-0.5125622386759479,-0.507427407207262,-0.34488220809376596,0.16843582378180627,1.0,0.42916778651080173,0.3454209114610177,0.7243452627478578,0.7617800888058766,-0.07578195347402643,0.15937504077817854,-0.08239639830294883,-0.20845349803306237,-0.2137944241291502,0.3476434460296793,0.41780443201507833
Measles,-0.5262820086119349,-0.5129717415732149,-0.4161525353781738,0.31860293092524516,0.42916778651080173,1.0,0.4163214100298407,0.5140962914849583,0.4940587748267919,-0.15058000087760373,0.3137237175006617,-0.09822189107015424,-0.3407053328486822,-0.3669699513517131,0.4983912796618638,0.49001858940944126
BMI,-0.6619882744162664,-0.6652550417019629,-0.5228655113183905,0.28403194554823163,0.3454209114610177,0.4163214100298407,1.0,0.4572060394413803,0.4265009015045811,-0.16114208288458448,0.33617959589955715,-0.16648200435151786,-0.5964832797578922,-0.5991121910035502,0.6354751659853803,0.5984233246973873
Polio,-0.7407904606743131,-0.7429834735273635,-0.5242255360792811,0.30192623242269334,0.7243452627478578,0.5140962914849583,0.4572060394413803,1.0,0.953177898173274,-0.14795220249671526,0.3137856722034378,-0.033485888163721056,-0.3126854539587791,-0.30699810988129816,0.5527651143014977,0.6412174553454284
Diphtheria,-0.7218746455678725,-0.7253550323336639,-0.5138026959533875,0.2990159210299545,0.7617800888058766,0.4940587748267919,0.4265009015045811,0.953177898173274,1.0,-0.14693190748656712,0.31332094120071446,-0.027335976847407555,-0.30446624837060443,-0.295597454644628,0.535620969770427,0.6275413923742567
Incidents_HIV,0.34945826440761235,0.3696177262837687,0.6991193794069072,-0.03411801473874973,-0.07578195347402643,-0.15058000087760373,-0.16114208288458448,-0.14795220249671526,-0.14693190748656712,1.0,-0.16958972385996185,-0.058039707962523064,0.18876454476403348,0.19384734187911024,-0.20124620362851883,-0.5530274644851236
GDP_per_capita,-0.5122861147812169,-0.46968166805967093,-0.5101214071457129,0.44396595373619163,0.15937504077817854,0.3137237175006617,0.33617959589955715,0.3137856722034378,0.31332094120071446,-0.16958972385996185,1.0,-0.04083886674865908,-0.37526974197887675,-0.38103210970260365,0.5806259175342765,0.5830897215324402
Population_mln,0.007621990458184268,-0.005234231197116548,-0.05384768032198081,-0.03911865946047489,-0.08239639830294883,-0.09822189107015424,-0.16648200435151786,-0.033485888163721056,-0.027335976847407555,-0.058039707962523064,-0.04083886674865908,1.0,0.2563220092072112,0.25848583644494444,-0.03356181583556177,0.026297879724181572
Thinness_ten_nineteen_years,0.49119173760396345,0.46697845830470536,0.38214030099821206,-0.44636617891150904,-0.20845349803306237,-0.3407053328486822,-0.5964832797578922,-0.3126854539587791,-0.30446624837060443,0.18876454476403348,-0.37526974197887675,0.2563220092072112,1.0,0.9387571020296386,-0.5714851572141578,-0.4678244950192928
Thinness_five_nine_years,0.4776393405938535,0.4507556990809489,0.3797922911672284,-0.4330297153757742,-0.2137944241291502,-0.3669699513517131,-0.5991121910035502,-0.30699810988129816,-0.295597454644628,0.19384734187911024,-0.38103210970260365,0.25848583644494444,0.9387571020296386,1.0,-0.5513763529671335,-0.45816622746008506
Schooling,-0.788512531857602,-0.7731959826091404,-0.5810354785338122,0.615728040287146,0.3476434460296793,0.4983912796618638,0.6354751659853803,0.5527651143014977,0.535620969770427,-0.20124620362851883,0.5806259175342765,-0.03356181583556177,-0.5714851572141578,-0.5513763529671335,1.0,0.7324844688915013
Life_expectancy,-0.9200319194470857,-0.920419133640263,-0.9453603642730651,0.39915910757917233,0.41780443201507833,0.49001858940944126,0.5984233246973873,0.6412174553454284,0.6275413923742567,-0.5530274644851236,0.5830897215324402,0.026297879724181572,-0.4678244950192928,-0.45816622746008506,0.7324844688915013,1.0
